X,Depth,R1,R2,R3,R4,R5,R6,R7,R8,R9
45.75,1.91,735.91,844.42,486.75,572.43,285.33,306.87,370.19,212.49,284.83
47.25,1.91,385.97,625.09,252.73,209.11,273.86,195.02,233.02,289.06,202.47
48.75,1.91,259.36,128.38,244.59,160.4,245.42,284.77,262.01,236.7,232.7
50.25,1.91,100.14,84.83,129.27,173.83,133.1,228.65,166.85,192.38,175.13
51.75,1.91,143.76,135.4,154.34,175.23,150.78,179.87,149.34,136.4,164.89
53.25,1.91,167.3,141.15,142.42,140.89,175.68,151.11,126.23,115.87,142.7
54.75,1.91,269.52,242.6,277.64,272.77,226.18,316.55,278.92,374.32,274.55
56.25,1.91,403.81,411.82,380.28,450.51,257.97,461.96,376.51,511.63,354.02
57.75,1.91,256.49,288.33,240.17,244.74,237.08,256.75,207.7,211.03,217.36
59.25,1.91,253.36,309.8,280.39,257.76,385.4,242.47,200.33,206.74,278.23
60.75,1.91,251.83,260.42,232.73,227.95,232.35,235.67,192.32,217.44,213.24
62.25,1.91,16.81,11.42,12.2,10.23,8.5,11.48,13.8,12.49,9.05
63.75,1.91,103.1,121.71,128.77,116.28,166.48,161.74,156.54,181.17,156.47
65.25,1.91,47.24,42.76,44.14,48.38,60.09,44.35,42.77,43.71,46.07
66.75,1.91,183.36,139.31,181.37,159.16,138.05,192.45,213.57,233.7,158.27
68.25,1.91,464.28,510.4,535.62,403.96,316.75,514.11,617.19,570.4,538.12
69.75,1.91,415.61,548.39,453.55,438.06,492.08,448.12,472.01,432.28,514.96
71.25,1.91,177.79,241.14,175.71,222.97,303.91,204.37,192.5,192,223.54
72.75,1.91,63.3,78.57,68.77,84.92,93.64,81.18,71.21,74.91,78.98
74.25,1.91,65.97,63.68,68.41,70.56,71.34,72.4,67.89,70.51,68.28
75.75,1.91,126.82,112.83,116.15,113.84,96.25,108.74,114.33,120.01,109.32
77.25,1.91,277.11,259.6,263.41,262.28,243.79,258.89,254.21,276.27,249.41
78.75,1.91,403.5,365.16,380.69,350.51,295.02,353.05,360.54,358.72,335.12
80.25,1.91,572.19,523.87,548.47,535.47,449.61,506.94,517.31,496.48,485.27
81.75,1.91,595.34,564.37,578.01,582.93,479.93,537.37,533.09,508.53,515.67
83.25,1.91,487.39,457.08,465.74,486.63,408.96,438.39,426.13,416.67,416.91
84.75,1.91,390.38,366.45,377.07,369.45,346.74,355.65,351.14,348.82,326.43
86.25,1.91,381.96,369.89,367.38,346.4,352.43,345.12,349.88,345.86,319.07
87.75,1.91,376.39,376.59,375.14,337.61,319.56,325.92,357.43,328.54,328.14
89.25,1.91,293.94,287.17,289.71,291.07,275.8,281.8,285.9,270.08,280.5
90.75,1.91,156.56,157.58,157.68,159.08,161.1,162.88,160.98,160.61,155.24
92.25,1.91,226.95,220.2,223.55,222.81,251.57,242.64,250.23,237.41,209.53
93.75,1.91,237.15,227.35,236.82,232.76,261.22,256.93,258.49,261.37,233.15
95.25,1.91,396.21,385,386.9,371.77,422.5,400.57,404.07,411.31,352.91
96.75,1.91,229.62,216.38,222.05,212.83,260.88,245.44,253.57,253.62,217.89
98.25,1.91,316.74,283.6,323.54,308.07,322.47,311.62,316.85,312.65,286.8
99.75,1.91,311.87,318.27,312.77,322.63,321.65,332.33,319.95,322.66,281.25
101.25,1.91,274.02,282.21,261.97,272.1,284.83,284.92,278.63,276.1,251.78
102.75,1.91,234,240.61,231.81,239.68,223.18,253.38,239.74,230.13,223.81
104.25,1.91,134.02,142.64,134.97,138.85,130.49,134.27,138.82,134.91,130.57
105.75,1.91,73.27,99.57,73.18,88.24,87.85,68.89,64.86,57.58,70.49
107.25,1.91,167.25,161.57,172.55,154.66,151.37,191.42,193.8,147.42,200.14
108.75,1.91,95.87,63.57,90.08,61.11,83.48,103.41,128.49,123.91,100.32
110.25,1.91,25.07,36.63,26.52,38.75,34.49,25.23,25.42,29.14,27.59
111.75,1.91,668.48,598.06,658.11,848.96,567.67,690.71,465.15,617.59,544.52
113.25,1.91,4.67,2.45,4.97,9.97,4.32,4.77,2.06,2.99,3.06
114.75,1.91,20.2,25.81,23.6,10.18,39.39,36.21,70.96,62.55,51.41
116.25,1.91,285.23,309.41,252.25,352.66,207.58,274.89,203.25,209.17,221.18
117.75,1.91,144.1,160.41,144.46,156.79,138.84,148.35,147.61,140.04,149.66
119.25,1.91,89.12,90.58,88.02,84.9,90.19,91.39,104.91,96.53,105.77
